City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain Fall,Snow Fall
191,Kropotkin,45.44,40.58,few clouds,45.0,64,16,23.69,RU,2020-04-16 22:48:35,0.0,0.0
192,Richards Bay,-28.78,32.04,few clouds,68.99,79,13,5.35,ZA,2020-04-16 22:48:35,0.0,0.0
193,Saint-Philippe,-21.36,55.77,light rain,75.2,69,19,16.11,RE,2020-04-16 22:48:35,0.18,0.0
194,Knysna,-34.04,23.05,broken clouds,59.0,87,64,2.24,ZA,2020-04-16 22:48:36,0.0,0.0
195,Seymchan,62.88,152.43,light snow,7.81,89,100,13.67,RU,2020-04-16 22:48:36,0.0,0.35
196,Atar,20.52,-13.05,overcast clouds,78.48,17,95,3.09,MR,2020-04-16 22:44:47,0.0,0.0
197,Maragogi,-9.01,-35.22,moderate rain,80.47,80,96,11.05,BR,2020-04-16 22:48:36,5.93,0.0
198,Ketchikan,55.34,-131.65,overcast clouds,51.8,76,90,18.34,US,2020-04-16 22:48:05,0.0,0.0
199,Vila,42.03,-8.16,broken clouds,60.01,100,75,6.93,PT,2020-04-16 22:48:36,0.0,0.0
200,Auki,-8.77,160.7,light rain,80.53,79,100,8.52,SB,2020-04-16 22:48:37,0.36,0.0
201,Zvishavane,-20.33,30.07,scattered clouds,67.33,49,32,2.86,ZW,2020-04-16 22:48:37,0.0,0.0
202,Bayir,37.27,28.22,clear sky,51.8,87,0,4.7,TR,2020-04-16 22:48:37,0.0,0.0
203,Economy,40.6,-80.22,broken clouds,44.6,33,75,18.34,US,2020-04-16 22:48:37,0.0,0.0
204,Bintulu,3.17,113.03,broken clouds,77.0,94,75,3.36,MY,2020-04-16 22:48:38,0.0,0.0
205,Tornio,65.85,24.15,overcast clouds,32.0,94,92,9.17,FI,2020-04-16 22:48:38,0.0,0.0
206,Matara,5.95,80.54,scattered clouds,77.67,85,37,2.51,LK,2020-04-16 22:48:38,0.0,0.0
207,Necochea,-38.55,-58.74,few clouds,57.0,92,18,1.99,AR,2020-04-16 22:48:38,0.0,0.0
208,Akhtubinsk,48.28,46.17,few clouds,43.99,68,24,21.79,RU,2020-04-16 22:48:38,0.0,0.0
209,Ayagoz,47.97,80.44,scattered clouds,38.46,57,35,12.28,KZ,2020-04-16 22:48:39,0.0,0.0
210,Jamestown,42.1,-79.24,overcast clouds,39.2,47,90,19.46,US,2020-04-16 22:48:39,0.0,0.0
211,Omboue,-1.57,9.26,light rain,78.73,88,100,5.68,GA,2020-04-16 22:48:39,0.44,0.0
212,Tigil,57.8,158.67,overcast clouds,26.74,97,85,3.69,RU,2020-04-16 22:48:39,0.0,0.0
213,Geraldton,-28.77,114.6,overcast clouds,62.6,77,86,4.7,AU,2020-04-16 22:48:39,0.0,0.0
214,Port Augusta,-32.5,137.77,broken clouds,57.0,87,66,5.82,AU,2020-04-16 22:48:40,0.0,0.0
215,Rafai,4.95,23.92,few clouds,73.71,46,22,1.19,CF,2020-04-16 22:48:40,0.0,0.0
216,Yima,34.74,111.88,scattered clouds,64.99,99,28,3.67,CN,2020-04-16 22:48:40,0.0,0.0
217,Podor,16.65,-14.96,scattered clouds,74.03,42,34,16.44,MR,2020-04-16 22:48:40,0.0,0.0
218,Praia Da Vitoria,38.73,-27.07,scattered clouds,59.0,82,40,8.84,PT,2020-04-16 22:48:40,0.0,0.0
219,College,64.86,-147.8,overcast clouds,44.6,70,90,12.75,US,2020-04-16 22:48:41,0.0,0.0
220,Victoria,22.29,114.16,scattered clouds,73.0,88,40,6.93,HK,2020-04-16 22:47:07,0.0,0.0
221,Aberdeen,57.14,-2.1,scattered clouds,42.01,86,50,1.12,GB,2020-04-16 22:48:41,0.0,0.0
222,Huilong,31.81,121.66,light rain,64.99,77,98,1.01,CN,2020-04-16 22:48:41,1.82,0.0
223,Kouango,4.99,19.96,scattered clouds,76.44,49,38,1.43,CF,2020-04-16 22:48:42,0.0,0.0
224,Bonavista,48.65,-53.11,snow,33.01,84,92,11.99,CA,2020-04-16 22:48:42,0.0,2.42
225,Anadyr,64.75,177.48,few clouds,14.0,92,20,15.66,RU,2020-04-16 22:48:42,0.0,0.0
226,Fairlie,55.76,-4.86,overcast clouds,46.4,70,90,11.41,GB,2020-04-16 22:48:42,0.0,0.0
227,Broken Hill,-31.95,141.43,overcast clouds,53.6,66,91,8.05,AU,2020-04-16 22:48:42,0.0,0.0
228,Ambad,19.62,75.8,few clouds,78.67,28,21,6.51,IN,2020-04-16 22:48:42,0.0,0.0
229,Ostrovnoy,68.05,39.51,light snow,33.46,93,100,20.31,RU,2020-04-16 22:48:43,0.0,0.97
230,Wuwei,37.93,102.64,overcast clouds,46.0,27,96,2.13,CN,2020-04-16 22:48:43,0.0,0.0
231,Westport,41.14,-73.36,few clouds,48.2,22,20,20.8,US,2020-04-16 22:48:14,0.0,0.0
232,Burpengary,-27.16,152.96,few clouds,79.0,78,23,8.05,AU,2020-04-16 22:48:43,0.0,0.0
233,San Angelo,31.46,-100.44,clear sky,79.0,44,1,17.22,US,2020-04-16 22:46:23,0.0,0.0
234,Xuanhua,40.61,115.04,broken clouds,49.17,42,51,17.56,CN,2020-04-16 22:48:44,0.0,0.0
235,Ponta Do Sol,32.67,-17.1,few clouds,62.6,63,20,6.93,PT,2020-04-16 22:48:44,0.0,0.0
236,Yumen,40.28,97.2,overcast clouds,50.0,22,100,16.89,CN,2020-04-16 22:48:44,0.0,0.0
237,Sao Gabriel Da Cachoeira,-0.13,-67.09,light rain,75.87,91,85,2.08,BR,2020-04-16 22:48:44,1.44,0.0
238,Bandarbeyla,9.49,50.81,few clouds,81.57,75,13,6.06,SO,2020-04-16 22:48:44,0.0,0.0
239,Pangnirtung,66.15,-65.71,broken clouds,19.4,67,75,3.36,CA,2020-04-16 22:48:44,0.0,0.0
240,Houma,29.6,-90.72,clear sky,73.4,40,1,17.22,US,2020-04-16 22:48:45,0.0,0.0
241,Clyde River,70.47,-68.59,light snow,6.8,84,75,17.22,CA,2020-04-16 22:48:45,0.0,0.0
242,Ariquemes,-9.91,-63.04,light rain,74.12,94,88,3.29,BR,2020-04-16 22:48:45,0.51,0.0
243,Mikuni,36.22,136.15,scattered clouds,42.8,87,40,2.24,JP,2020-04-16 22:48:45,0.0,0.0
244,Airai,-8.93,125.41,clear sky,69.06,58,6,3.22,TL,2020-04-16 22:48:46,0.0,0.0
